Курс;Категория;Всего_MB;Размер_резервной_копии_MB
Григорьева С.В.  Технология отрасли 2022;Базовые дисциплины;2;0
Малышева А.А. МДК 04.01.2022;Профильные дисциплины;2;0
Григорьева С.В.  Астрономия 2022;Базовые дисциплины;2;0
 Григорьева С.В.  1с разработка 2022;Профильные дисциплины;2;0
Малышева А.А. МДК 03.01. Организация деятельности производственного подразделения 2022;Базовые дисциплины;2;0
Григорьева С.В.  Физика 2022;Базовые дисциплины;2;0
Иностранный язык Эдиберидзе Л.Г. 2022;Профессиональный Модуль;2;0
Право У-49 Пушкина.А.М 2022;Профильные дисциплины;2;0
Пушкина.А.М Правила дорожного движения (Филиал) 2022;Базовые дисциплины;2;0
Менеджмент У-29 Горохова.С.В 2022;Профильные дисциплины;2;0
МДК.02.03 С-27 Николаева.С.В. 2022;Профессиональный Модуль;2;0
Пушкина.А.М Эффективное поведение на рынке труда 2022;Базовые дисциплины;2;0
Малышева А.А. МДК 01.01 2022;Профессиональный цикл;1;0
МДК 04.01 Пушкина.А.М 2022;Базовые дисциплины;1;0
Пушкина.А.М ПМ 09.02.03 2022;Базовые дисциплины;1;0
Пушкина.А.М Английский язык У-29 2022;Базовые дисциплины;1;0
Пушкина.А.М Операционные системы 2022;Базовые дисциплины;1;0
Пушкина.А.М Обществознание 2022;Профессиональный цикл;1;0
Пушкина.А.М География 2022;Базовые дисциплины;1;0
Пушкина.А.М Английский язык М-34 2022;Базовые дисциплины;1;0
Малышева А.А. МДК 01.02 2022;Профессиональный цикл;1;0
Пушкина.А.М Приготовление 2022;Базовые дисциплины;1;0
Пушкина.А.М Трудовое право 2022;Базовые дисциплины;1;0
Токар М.Й. Химия 16 20212;Базовые дисциплины;1;0
МДК.03.02 У-49 Рахимова.Р.В. 2022;Профессиональный Модуль;1;0
Токар М.Й. УП 03 2022;Базовые дисциплины;1;0
Малышева А.А. МДК 02.01. С-38 группа (Филиал) 2022;Базовые дисциплины;1;0
Малышева А.А. МДК 02.01. С-37 группа (Филиал) 2022;Базовые дисциплины;1;0
"Малышева А.А. МДК 02.02 ""Процессы приготовления, подготовки к реализации и презентации горячих блюд"" 2022";Базовые дисциплины;1;0
Токар М.Й. Основы Профессионального творчества НП-23 2022;Базовые дисциплины;1;0
Биология Румянцева.О.В 2022;Общепрофессиональный цикл;1;0
Малышева А.А. МДК 03.01 2022;Профессиональный цикл;1;0
Токар М.Й. Немецкий язык 2022;Базовые дисциплины;1;0
Малышева А.А. МДК 01 2022;Базовые дисциплины;1;0
Малышева А.А. МДК 02.01 2022;Базовые дисциплины;1;0
Токар М.Й. УП 04 2022;Базовые дисциплины;1;0
Малышева А.А. МДК 03.01 НП-35 2022;Базовые дисциплины;1;0
Токар М.Й. Химия 2022;Базовые дисциплины;1;0
Токар М.Й. Английский язык М-24 2022;Базовые дисциплины;1;0
Малышева А.А. МДК 01.01 «Технология перевозочного процесса» 2022;Базовые дисциплины;1;0
Математика Ю-20 Токар М.Й 2022;Общеобразовательные дисциплины ;1;0
Токар М.Й. ПМ 02. Организация деятельности коллектива исполнителей 2022;Профессиональный Модуль;1;0
Эдиберидзе Л.Г. Английский язык Ф-21 2022;Базовые дисциплины;1;0
Эдиберидзе Л.Г. Английский язык Э-32 2022;Базовые дисциплины;1;0
Эдиберидзе Л.Г. ПП.03 2022;Профессиональный цикл;1;0
Яковлева Ж.С. МДК 01.01 2022;Профессиональный цикл;1;0
Эдиберидзе Л.Г. Деловое общение и этика 2022;Базовые дисциплины;1;0
Математика НП-15 Ткачева.Ю.С 2022;Общеобразовательные дисциплины ;1;0
Эдиберидзе Л.Г. УП М-34 2022;Базовые дисциплины;1;0
Малышева А.А. МДК 04.01 «Выполнение работ по профессии диспетчер автомобильного транспорта» 2022;Базовые дисциплины;1;0
Малышева А.А. Курсовая работа 2022;Профессиональный цикл;1;0
